state	year	spending
Rhode Island	1995	0
Rhode Island	1996	0
Rhode Island	1997	0
Rhode Island	1998	0
Rhode Island	1999	0
Rhode Island	2000	0
Rhode Island	2001	0
Rhode Island	2002	0
Rhode Island	2003	35683
Rhode Island	2004	24803
Rhode Island	2005	25037
Rhode Island	2006	22518
Rhode Island	2007	24068
Rhode Island	2008	23012
Rhode Island	2009	15889
Rhode Island	2010	12004
Rhode Island	2011	16760
Rhode Island	2012	13076
Rhode Island	2013	11150
Rhode Island	2014	1278
Rhode Island	2015	0
Rhode Island	2016	0
Rhode Island	2017	0
Rhode Island	2018	0
Rhode Island	2019	0
Rhode Island	2020	0
Rhode Island	2021	0
