state	year	spending
Connecticut	1995	0
Connecticut	1996	0
Connecticut	1997	0
Connecticut	1998	0
Connecticut	1999	0
Connecticut	2000	0
Connecticut	2001	0
Connecticut	2002	6735
Connecticut	2003	874052
Connecticut	2004	644437
Connecticut	2005	653939
Connecticut	2006	639254
Connecticut	2007	585222
Connecticut	2008	641397
Connecticut	2009	553970
Connecticut	2010	518266
Connecticut	2011	542818
Connecticut	2012	537828
Connecticut	2013	502631
Connecticut	2014	3557
Connecticut	2015	0
Connecticut	2016	-1267
Connecticut	2017	1267
Connecticut	2018	0
Connecticut	2019	0
Connecticut	2020	0
Connecticut	2021	0
