state	year	spending
New York	1995	0
New York	1996	0
New York	1997	0
New York	1998	0
New York	1999	0
New York	2000	0
New York	2001	0
New York	2002	734972
New York	2003	37883957
New York	2004	27457931
New York	2005	27464749
New York	2006	25832043
New York	2007	27818996
New York	2008	26562368
New York	2009	24083603
New York	2010	24003774
New York	2011	23558391
New York	2012	23059783
New York	2013	21923593
New York	2014	-532972
New York	2015	-9744
New York	2016	-31750
New York	2017	857
New York	2018	6513
New York	2019	0
New York	2020	14251
New York	2021	0
