state	year	spending
New Hampshire	1995	0
New Hampshire	1996	0
New Hampshire	1997	0
New Hampshire	1998	0
New Hampshire	1999	0
New Hampshire	2000	0
New Hampshire	2001	0
New Hampshire	2002	0
New Hampshire	2003	466663
New Hampshire	2004	343000
New Hampshire	2005	338203
New Hampshire	2006	354021
New Hampshire	2007	318359
New Hampshire	2008	325724
New Hampshire	2009	274871
New Hampshire	2010	297566
New Hampshire	2011	261738
New Hampshire	2012	294322
New Hampshire	2013	259175
New Hampshire	2014	-1554
New Hampshire	2015	0
New Hampshire	2016	0
New Hampshire	2017	0
New Hampshire	2018	0
New Hampshire	2019	0
New Hampshire	2020	0
New Hampshire	2021	0
