state	year	spending
Montana	1995	0
Montana	1996	0
Montana	1997	0
Montana	1998	0
Montana	1999	0
Montana	2000	0
Montana	2001	0
Montana	2002	11810075
Montana	2003	121798682
Montana	2004	107433741
Montana	2005	103639426
Montana	2006	98449397
Montana	2007	103121254
Montana	2008	104373403
Montana	2009	87101608
Montana	2010	89566733
Montana	2011	87796224
Montana	2012	85239988
Montana	2013	93252762
Montana	2014	1552800
Montana	2015	39688
Montana	2016	-126116
Montana	2017	42446
Montana	2018	1011
Montana	2019	0
Montana	2020	0
Montana	2021	0
