state	year	spending
Georgia	1995	0
Georgia	1996	0
Georgia	1997	0
Georgia	1998	0
Georgia	1999	0
Georgia	2000	0
Georgia	2001	0
Georgia	2002	22113981
Georgia	2003	134664082
Georgia	2004	102517049
Georgia	2005	100458791
Georgia	2006	99399545
Georgia	2007	97959606
Georgia	2008	97437248
Georgia	2009	93832052
Georgia	2010	95203560
Georgia	2011	93090799
Georgia	2012	93348922
Georgia	2013	84511666
Georgia	2014	-187722
Georgia	2015	-502920
Georgia	2016	-73569
Georgia	2017	-112400
Georgia	2018	2018
Georgia	2019	0
Georgia	2020	0
Georgia	2021	0
