state	year	spending
Wisconsin	1995	0
Wisconsin	1996	0
Wisconsin	1997	0
Wisconsin	1998	0
Wisconsin	1999	0
Wisconsin	2000	0
Wisconsin	2001	0
Wisconsin	2002	3411415
Wisconsin	2003	148786610
Wisconsin	2004	113053769
Wisconsin	2005	113921801
Wisconsin	2006	110996851
Wisconsin	2007	110794279
Wisconsin	2008	109769408
Wisconsin	2009	98631626
Wisconsin	2010	96506359
Wisconsin	2011	95862276
Wisconsin	2012	95806182
Wisconsin	2013	92131098
Wisconsin	2014	743065
Wisconsin	2015	121561
Wisconsin	2016	36238
Wisconsin	2017	9549
Wisconsin	2018	0
Wisconsin	2019	0
Wisconsin	2020	0
Wisconsin	2021	0
