state	year	spending
New Hampshire	1995	0
New Hampshire	1996	11565
New Hampshire	1997	0
New Hampshire	1998	0
New Hampshire	1999	9462
New Hampshire	2000	36706
New Hampshire	2001	0
New Hampshire	2002	770298
New Hampshire	2003	10604
New Hampshire	2004	10725
New Hampshire	2005	0
New Hampshire	2006	0
New Hampshire	2007	0
New Hampshire	2008	131526
New Hampshire	2009	6900
New Hampshire	2010	0
New Hampshire	2011	0
New Hampshire	2012	4073
New Hampshire	2013	0
New Hampshire	2014	0
New Hampshire	2015	2658
New Hampshire	2016	88545
New Hampshire	2017	71179
New Hampshire	2018	4004
New Hampshire	2019	350467
New Hampshire	2020	115849
