state	year	spending
South Carolina	1995	0
South Carolina	1996	0
South Carolina	1997	0
South Carolina	1998	0
South Carolina	1999	0
South Carolina	2000	0
South Carolina	2001	0
South Carolina	2002	0
South Carolina	2003	0
South Carolina	2004	0
South Carolina	2005	0
South Carolina	2006	0
South Carolina	2007	0
South Carolina	2008	0
South Carolina	2009	5541716
South Carolina	2010	388878
South Carolina	2011	2638513
South Carolina	2012	185375
South Carolina	2013	3427
South Carolina	2014	10600724
South Carolina	2015	1202700
South Carolina	2016	2173274
South Carolina	2017	4856877
South Carolina	2018	269117
South Carolina	2019	2166951
South Carolina	2020	2557484
South Carolina	2021	4413
