state	year	spending
New Jersey	1995	0
New Jersey	1996	0
New Jersey	1997	0
New Jersey	1998	0
New Jersey	1999	0
New Jersey	2000	0
New Jersey	2001	0
New Jersey	2002	0
New Jersey	2003	0
New Jersey	2004	0
New Jersey	2005	0
New Jersey	2006	0
New Jersey	2007	0
New Jersey	2008	0
New Jersey	2009	0
New Jersey	2010	0
New Jersey	2011	0
New Jersey	2012	0
New Jersey	2013	0
New Jersey	2014	0
New Jersey	2015	0
New Jersey	2016	0
New Jersey	2017	0
New Jersey	2018	0
New Jersey	2019	0
New Jersey	2020	0
New Jersey	2021	0
