state	year	spending
Connecticut	1995	0
Connecticut	1996	0
Connecticut	1997	0
Connecticut	1998	0
Connecticut	1999	0
Connecticut	2000	0
Connecticut	2001	0
Connecticut	2002	0
Connecticut	2003	0
Connecticut	2004	0
Connecticut	2005	0
Connecticut	2006	0
Connecticut	2007	0
Connecticut	2008	0
Connecticut	2009	0
Connecticut	2010	0
Connecticut	2011	0
Connecticut	2012	0
Connecticut	2013	0
Connecticut	2014	0
Connecticut	2015	0
Connecticut	2016	0
Connecticut	2017	2814
Connecticut	2018	0
Connecticut	2019	0
Connecticut	2020	17246
Connecticut	2021	77080
