state	year	spending
New Hampshire	1995	0
New Hampshire	1996	0
New Hampshire	1997	0
New Hampshire	1998	0
New Hampshire	1999	0
New Hampshire	2000	0
New Hampshire	2001	0
New Hampshire	2002	0
New Hampshire	2003	0
New Hampshire	2004	0
New Hampshire	2005	0
New Hampshire	2006	0
New Hampshire	2007	0
New Hampshire	2008	0
New Hampshire	2009	0
New Hampshire	2010	0
New Hampshire	2011	0
New Hampshire	2012	0
New Hampshire	2013	0
New Hampshire	2014	0
New Hampshire	2015	0
New Hampshire	2016	74152
New Hampshire	2017	69915
New Hampshire	2018	0
New Hampshire	2019	0
New Hampshire	2020	38317
New Hampshire	2021	42581
