state	year	spending
South Dakota	1995	0
South Dakota	1996	0
South Dakota	1997	0
South Dakota	1998	0
South Dakota	1999	0
South Dakota	2000	0
South Dakota	2001	0
South Dakota	2002	0
South Dakota	2003	0
South Dakota	2004	0
South Dakota	2005	0
South Dakota	2006	0
South Dakota	2007	0
South Dakota	2008	0
South Dakota	2009	28835
South Dakota	2010	22807
South Dakota	2011	0
South Dakota	2012	0
South Dakota	2013	0
South Dakota	2014	259900400
South Dakota	2015	5372460
South Dakota	2016	19616105
South Dakota	2017	65140549
South Dakota	2018	10322563
South Dakota	2019	635956
South Dakota	2020	1967035
South Dakota	2021	76695258
